doc_id,phrase_original_in_doc,phrase_canonical,topic_id,topic_label,concept_id,is_outlier_topic
125,에어로,에어로,1,조성물 | 프로세서 | 촉매,BT0001,False
126,주파수,주파수,1,조성물 | 프로세서 | 촉매,BT0001,False
126,이미지,이미지,7,이미지 센서,BT0005,False
126,인코딩,인코딩,3,메모리 | 인코딩,BT0012,False
127,메탄올,메탄올,19,메탄올,BT0023,False
127,조성물,조성물,1,조성물 | 프로세서 | 촉매,BT0001,False
128,메모리,메모리,3,메모리 | 인코딩,BT0012,False
128,컴퓨팅,컴퓨팅,4,디지털 변환 | 디지털 트윈 | 컴퓨터 프로그램,BT0002,False
129,커넥터,커넥터,8,케이블 | 단섬유 | 커넥터,BT0011,False
130,접착제,접착제,2,접착제 | 플라스틱 | 폴리머,BT0009,False
130,혼합물,혼합물,1,조성물 | 프로세서 | 촉매,BT0001,False
130,실리콘,실리콘,5,반도체 장치 | 반도체 디바이스,BT0004,False
131,주파수,주파수,1,조성물 | 프로세서 | 촉매,BT0001,False
132,유전자,유전자,21,유전자,BT0020,False
132,단백질,단백질,14,단백질,BT0021,False
132,마이오,마이오,1,조성물 | 프로세서 | 촉매,BT0001,False
133,플라즈마,플라즈마,1,조성물 | 프로세서 | 촉매,BT0001,False
133,레이저,레이저,9,레이저 | 방사선 | 자외선,BT0008,False
134,포인트,포인트,1,조성물 | 프로세서 | 촉매,BT0001,False
134,카메라,카메라,7,이미지 센서,BT0005,False
134,레이저,레이저,9,레이저 | 방사선 | 자외선,BT0008,False
134,이미지,이미지,7,이미지 센서,BT0005,False
135,자동차,자동차,26,자동차 | 드라이버,BT0013,False
136,이미지,이미지,7,이미지 센서,BT0005,False
136,에너지,에너지,0,RF 에너지 | 에너지 발생,BT0006,False
137,스트림,스트림,1,조성물 | 프로세서 | 촉매,BT0001,False
137,프로세서,프로세서,1,조성물 | 프로세서 | 촉매,BT0001,False
137,플라즈마,플라즈마,1,조성물 | 프로세서 | 촉매,BT0001,False
137,드라이버,드라이버,26,자동차 | 드라이버,BT0013,False
138,조성물,조성물,1,조성물 | 프로세서 | 촉매,BT0001,False
139,오디오,오디오,27,초음파 발생 | 전자파 차폐,BT0007,False
140,전해질,전해질,1,조성물 | 프로세서 | 촉매,BT0001,False
140,배터리,배터리,16,배터리,BT0018,False
141,프로세스,프로세스,1,조성물 | 프로세서 | 촉매,BT0001,False
141,리튬,리튬,10,알루미늄 합금,BT0003,False
141,스트림,스트림,1,조성물 | 프로세서 | 촉매,BT0001,False
142,드라이버,드라이버,26,자동차 | 드라이버,BT0013,False
143,카운터,카운터,1,조성물 | 프로세서 | 촉매,BT0001,False
144,모니터링,모니터링,18,모니터링 시스템,BT0014,False
144,이벤트,이벤트,1,조성물 | 프로세서 | 촉매,BT0001,False
145,스트림,스트림,1,조성물 | 프로세서 | 촉매,BT0001,False
145,오디오,오디오,27,초음파 발생 | 전자파 차폐,BT0007,False
145,인코딩,인코딩,3,메모리 | 인코딩,BT0012,False
147,조성물,조성물,1,조성물 | 프로세서 | 촉매,BT0001,False
149,실리콘,실리콘,5,반도체 장치 | 반도체 디바이스,BT0004,False
151,플라스틱,플라스틱,2,접착제 | 플라스틱 | 폴리머,BT0009,False
152,접착제,접착제,2,접착제 | 플라스틱 | 폴리머,BT0009,False
152,전자파 차폐,전자파 차폐,27,초음파 발생 | 전자파 차폐,BT0007,False
153,애플리케이션,애플리케이션,4,디지털 변환 | 디지털 트윈 | 컴퓨터 프로그램,BT0002,False
154,방향족,방향족,1,조성물 | 프로세서 | 촉매,BT0001,False
154,조성물,조성물,1,조성물 | 프로세서 | 촉매,BT0001,False
155,접착제,접착제,2,접착제 | 플라스틱 | 폴리머,BT0009,False
155,촉매,촉매,1,조성물 | 프로세서 | 촉매,BT0001,False
155,아크릴,아크릴,1,조성물 | 프로세서 | 촉매,BT0001,False
155,조성물,조성물,1,조성물 | 프로세서 | 촉매,BT0001,False
156,탄소,탄소,23,탄소,BT0017,False
156,조성물,조성물,1,조성물 | 프로세서 | 촉매,BT0001,False
156,폴리머,폴리머,2,접착제 | 플라스틱 | 폴리머,BT0009,False
156,반도체 장치,반도체 장치,5,반도체 장치 | 반도체 디바이스,BT0004,False
156,반도체,반도체,5,반도체 장치 | 반도체 디바이스,BT0004,False
157,디지털 변환,디지털 변환,4,디지털 변환 | 디지털 트윈 | 컴퓨터 프로그램,BT0002,False
157,실시간,실시간,1,조성물 | 프로세서 | 촉매,BT0001,False
157,디지털,디지털,4,디지털 변환 | 디지털 트윈 | 컴퓨터 프로그램,BT0002,False
158,애플리케이션,애플리케이션,4,디지털 변환 | 디지털 트윈 | 컴퓨터 프로그램,BT0002,False
158,에너지,에너지,0,RF 에너지 | 에너지 발생,BT0006,False
160,플레이트,플레이트,1,조성물 | 프로세서 | 촉매,BT0001,False
160,디스플레이,디스플레이,1,조성물 | 프로세서 | 촉매,BT0001,False
160,커넥터,커넥터,8,케이블 | 단섬유 | 커넥터,BT0011,False
162,아크릴,아크릴,1,조성물 | 프로세서 | 촉매,BT0001,False
